Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Александр Жиров;Балтика;204;100;З Ц;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;35.00;83 %;-;-;-;-;14.00;79 %;2.00;50 %;-;-;7.00;86 %;-;-;2.00;1.00;-;4.00;1.00;2.00;8.00;63 %;7.00;57 %;1.00;100 %;5.00;40 %;-;-;-;-;1.00;100 %;6.00;6.00;1;1.00;-;-;57.00;48.00;84 %;-;-;-;-;-;-;-;-;0.55;2.10;-1.55;-;-;29.00;-;-;11.00;1.00;-;6.00;-;5.00;4.00;1.00;2.00;-;-;1.00
Арсен Адамов;Оренбург;201;99;З П;-;-;-;-;-;-;-;1.00;1.00;2.00;-;-;-;-;-;-;55.00;91 %;-;-;2.00;0 %;7.00;100 %;4.00;75 %;-;-;3.00;100 %;1.00;0 %;4.00;2.00;-;4.00;1.00;7.00;7.00;57 %;3.00;100 %;4.00;25 %;1.00;100 %;1.00;0 %;-;-;2.00;100 %;8.00;6.00;1;1.00;-;-;83.00;75.00;90 %;-;-;-;-;0.03;-;-;-;1.27;2.34;-1.07;0.11;0.11;50.00;-;-;7.00;3.00;-;3.00;-;4.00;3.00;1.00;1.00;-;-;2.00
Илья Агапов;ЦСКА Москва;220;99;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.34;53.00;87 %;-;-;1.00;0 %;7.00;86 %;-;-;-;-;3.00;67 %;2.00;50 %;5.00;1.00;1.00;8.00;-;2.00;15.00;53 %;10.00;60 %;5.00;40 %;6.00;50 %;1.00;100 %;-;-;4.00;50 %;8.00;8.00;1;1.00;-;-;88.00;72.00;82 %;0 %;1.00;-;-;0.28;0.34;-;0.00;2.32;2.51;-0.19;0.16;0.08;46.00;-;-;6.00;-;-;2.00;1.00;8.00;6.00;2.00;3.00;1.00;-;2.00
Виктор Александров;Пари Нижний Новгород;215;99;З ЛЦ;-;-;-;-;-;-;3.00;-;-;1.00;1.00;-;-;1.00;-;0.11;34.00;88 %;-;-;1.00;0 %;10.00;70 %;5.00;80 %;1.00;0 %;6.00;67 %;2.00;50 %;3.00;1.00;-;4.00;1.00;3.00;8.00;63 %;8.00;63 %;-;-;4.00;100 %;-;-;-;-;2.00;50 %;5.00;1.00;1;1.00;-;-;52.00;44.00;85 %;0 %;1.00;-;-;-;0.11;-;0.00;2.34;1.27;1.7;-;-;30.00;-;-;7.00;4.00;-;4.00;1.00;5.00;5.00;-;4.00;-;-;1.00
Нуралы Алип;Зенит;205;99;З ЛЦ;-;-;-;-;-;-;-;1.00;1.00;1.00;-;-;-;1.00;-;0.02;55.00;84 %;-;-;-;-;15.00;60 %;7.00;43 %;1.00;0 %;9.00;56 %;-;-;5.00;2.00;-;3.00;-;1.00;8.00;75 %;5.00;60 %;3.00;100 %;4.00;50 %;2.00;100 %;-;-;1.00;100 %;4.00;7.00;1;1.00;-;-;76.00;64.00;84 %;0 %;-;1.00;-;-;0.02;-;0.00;1.63;1.20;0.43;0.13;0.13;46.00;-;-;9.00;3.00;-;5.00;-;6.00;3.00;3.00;2.00;2.00;-;1.00
Дмитрий Баринов;Локомотив Москва;208;99;ЗП ЛЦ;-;-;1.00;-;0 %;-;-;1.00;-;2.00;-;-;-;4.00;3.00;0.56;34.00;82 %;-;-;-;-;7.00;57 %;-;-;-;-;4.00;50 %;-;-;5.00;2.00;-;3.00;-;-;15.00;33 %;12.00;42 %;3.00;0 %;5.00;40 %;1.00;0 %;1.00;0 %;4.00;50 %;-;6.00;1;1.00;-;-;57.00;40.00;70 %;75 %;-;1.00;-;0.02;0.14;-;0.00;1.20;1.63;-0.43;-;-;28.00;-;-;4.00;-;-;2.00;-;5.00;5.00;-;2.00;-;-;2.00
Вильмар Барриос;Зенит;243;99;ЗП Ц;-;-;-;-;-;1.00;-;2.00;1.00;1.00;-;-;-;-;-;-;74.00;85 %;2.00;50 %;1.00;100 %;18.00;72 %;1.00;100 %;-;-;7.00;57 %;3.00;67 %;5.00;1.00;1.00;14.00;4.00;1.00;24.00;63 %;17.00;59 %;7.00;71 %;6.00;50 %;2.00;100 %;-;-;6.00;100 %;8.00;16.00;1;1.00;-;-;124.00;103.00;83 %;-;-;-;-;0.61;-;-;-;1.63;1.20;0.43;-;-;63.00;1.00;1.00;13.00;1.00;-;4.00;2.00;15.00;10.00;5.00;3.00;2.00;-;6.00
Иван Башич;Оренбург;222;99;П ПЦ;-;-;-;-;-;1.00;2.00;1.00;1.00;1.00;-;-;-;1.00;-;0.01;44.00;82 %;1.00;100 %;-;-;7.00;86 %;4.00;75 %;1.00;0 %;5.00;60 %;7.00;43 %;2.00;-;-;1.00;1.00;2.00;12.00;58 %;7.00;43 %;5.00;80 %;4.00;25 %;3.00;100 %;1.00;100 %;3.00;67 %;4.00;6.00;1;1.00;-;-;69.00;55.00;80 %;0 %;1.00;-;-;0.90;0.01;-;0.00;1.27;2.34;-1.07;-;-;36.00;1.00;-;6.00;3.00;-;3.00;3.00;7.00;3.00;4.00;1.00;3.00;1.00;2.00
Матео Кассьерра;Зенит;261;99;Ф ЛЦ;1.00;-;2.00;1.00;50 %;-;2.00;2.00;-;-;1.00;-;-;3.00;1.00;0.27;30.00;87 %;2.00;0 %;-;-;3.00;100 %;-;-;-;-;-;-;3.00;67 %;7.00;1.00;1.00;-;-;-;18.00;61 %;1.00;100 %;17.00;59 %;10.00;60 %;4.00;75 %;4.00;75 %;-;-;-;1.00;1;1.00;-;-;53.00;39.00;74 %;33 %;1.00;1.00;-;0.45;0.09;0.27;3.70;1.63;1.20;0.43;-;-;26.00;-;-;3.00;-;-;-;2.00;11.00;1.00;10.00;6.00;3.00;3.00;-
Страхиня Эракович;Зенит;222;99;З Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63.00;90 %;-;-;-;-;12.00;67 %;1.00;0 %;-;-;5.00;80 %;-;-;4.00;4.00;-;8.00;2.00;-;20.00;55 %;19.00;53 %;1.00;100 %;8.00;63 %;-;-;-;-;2.00;100 %;3.00;6.00;1;1.00;-;-;93.00;78.00;84 %;-;-;-;-;-;-;-;-;1.63;1.20;0.43;-;-;57.00;-;-;8.00;-;-;4.00;-;11.00;10.00;1.00;5.00;-;-;2.00
Лукас Фассон;Локомотив Москва;266;99;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;44.00;89 %;-;-;-;-;9.00;67 %;2.00;50 %;-;-;3.00;67 %;2.00;0 %;4.00;-;-;7.00;-;1.00;15.00;73 %;10.00;80 %;5.00;60 %;12.00;75 %;-;-;-;-;1.00;0 %;9.00;5.00;1;1.00;-;-;74.00;65.00;88 %;-;-;-;-;-;-;-;-;1.20;1.63;-0.43;0.35;0.12;39.00;-;-;6.00;1.00;-;2.00;-;11.00;8.00;3.00;9.00;-;-;-
Аббосбек Файзуллаев;ЦСКА Москва;255;99;АП ЛЦ;1.00;-;2.00;1.00;50 %;-;1.00;2.00;-;-;-;-;-;4.00;2.00;0.66;30.00;73 %;1.00;0 %;1.00;0 %;5.00;80 %;-;-;-;-;2.00;100 %;7.00;43 %;7.00;3.00;-;2.00;1.00;-;18.00;44 %;7.00;57 %;11.00;36 %;3.00;67 %;5.00;20 %;1.00;0 %;4.00;50 %;2.00;7.00;1;1.00;-;-;61.00;41.00;67 %;50 %;1.00;1.00;-;0.89;0.17;0.66;1.52;2.32;2.51;-0.19;0.03;0.03;22.00;-;-;4.00;-;-;2.00;3.00;8.00;4.00;4.00;2.00;1.00;-;2.00
Милан Гайич;ЦСКА Москва;236;99;ЗП Л;-;1.00;1.00;-;0 %;1.00;-;-;-;-;-;-;-;2.00;-;0.27;52.00;81 %;1.00;100 %;5.00;40 %;9.00;67 %;2.00;100 %;-;-;6.00;67 %;6.00;50 %;6.00;3.00;-;2.00;-;2.00;7.00;71 %;1.00;100 %;6.00;67 %;3.00;67 %;-;-;-;-;-;-;4.00;5.00;1;1.00;-;-;72.00;58.00;81 %;0 %;1.00;1.00;-;0.28;0.14;-;0.00;2.32;2.51;-0.19;0.09;0.04;42.00;1.00;2.00;6.00;2.00;-;4.00;3.00;5.00;1.00;4.00;2.00;-;-;-
Данил Глебов;Ростов;213;99;ЗП Ц;-;1.00;-;-;-;1.00;-;-;1.00;1.00;-;-;-;-;-;-;43.00;72 %;2.00;50 %;-;-;13.00;46 %;1.00;0 %;-;-;3.00;33 %;4.00;50 %;7.00;1.00;1.00;7.00;5.00;1.00;11.00;55 %;6.00;67 %;5.00;40 %;2.00;100 %;1.00;0 %;-;-;2.00;100 %;11.00;9.00;1;1.00;-;-;76.00;58.00;76 %;-;-;-;-;0.83;-;-;-;2.51;2.32;0.19;0.11;0.11;31.00;1.00;-;6.00;-;-;1.00;2.00;6.00;4.00;2.00;2.00;-;-;2.00
Ренато Гойкович;Оренбург;212;99;З ПЦ;-;-;1.00;-;0 %;-;-;1.00;1.00;2.00;-;-;-;-;-;-;49.00;86 %;-;-;-;-;5.00;60 %;-;-;-;-;3.00;33 %;-;-;4.00;1.00;-;9.00;-;2.00;19.00;74 %;16.00;75 %;3.00;67 %;7.00;86 %;-;-;-;-;4.00;75 %;9.00;6.00;1;1.00;-;-;85.00;73.00;86 %;-;-;-;-;-;-;-;-;1.27;2.34;-1.07;0.26;0.05;42.00;-;-;3.00;-;-;1.00;-;14.00;12.00;2.00;6.00;-;-;3.00
Кирилл Гоцук;Пари Нижний Новгород;253;99;З Ц;-;-;1.00;-;0 %;2.00;2.00;-;-;1.00;-;-;-;1.00;1.00;0.20;45.00;96 %;-;-;-;-;5.00;100 %;1.00;100 %;-;-;2.00;100 %;1.00;100 %;4.00;1.00;2.00;12.00;-;1.00;18.00;67 %;13.00;77 %;5.00;40 %;4.00;75 %;-;-;-;-;5.00;60 %;8.00;5.00;1;1.00;-;-;82.00;72.00;88 %;100 %;-;-;-;0.20;0.20;-;0.00;2.34;1.27;1.7;-;-;43.00;-;-;5.00;1.00;-;2.00;1.00;12.00;10.00;2.00;3.00;-;-;3.00
Никита Каккоев;Пари Нижний Новгород;246;99;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46.00;87 %;-;-;-;-;6.00;83 %;2.00;100 %;-;-;5.00;60 %;4.00;100 %;1.00;1.00;1.00;9.00;-;2.00;22.00;64 %;18.00;67 %;4.00;50 %;6.00;17 %;1.00;100 %;-;-;7.00;86 %;9.00;5.00;1;1.00;-;-;87.00;72.00;83 %;-;-;-;-;-;-;-;-;2.34;1.27;1.7;0.34;0.17;40.00;-;-;5.00;2.00;-;3.00;4.00;14.00;12.00;2.00;1.00;1.00;-;6.00
Николай Калинский;Пари Нижний Новгород;215;99;П ПЦ;-;-;1.00;-;0 %;-;2.00;-;1.00;1.00;-;-;-;2.00;1.00;0.15;54.00;87 %;-;-;4.00;50 %;7.00;86 %;5.00;80 %;1.00;100 %;6.00;83 %;11.00;64 %;3.00;-;1.00;4.00;-;-;9.00;44 %;6.00;33 %;3.00;67 %;2.00;100 %;-;-;-;-;5.00;40 %;5.00;4.00;1;1.00;-;-;75.00;61.00;81 %;50 %;1.00;-;-;0.93;0.07;-;0.00;2.34;1.27;1.7;-;-;47.00;-;2.00;6.00;4.00;1.00;5.00;7.00;4.00;2.00;2.00;2.00;-;-;2.00
Мамаду Майга;Пари Нижний Новгород;227;99;ЗП Ц;-;-;-;-;-;-;5.00;-;-;-;1.00;-;-;1.00;-;0.02;43.00;91 %;-;-;-;-;8.00;75 %;2.00;0 %;-;-;3.00;67 %;-;-;6.00;1.00;2.00;6.00;1.00;2.00;17.00;59 %;8.00;50 %;9.00;67 %;1.00;100 %;5.00;60 %;2.00;100 %;7.00;43 %;6.00;8.00;1;1.00;-;-;79.00;65.00;82 %;0 %;-;1.00;-;0.02;0.02;-;0.00;2.34;1.27;1.7;0.05;0.02;39.00;-;-;6.00;-;-;2.00;-;10.00;4.00;6.00;1.00;3.00;2.00;3.00
Виктор Мелехин;Ростов;211;99;З ЛЦ;-;-;-;-;-;1.00;2.00;-;1.00;1.00;-;-;-;-;-;-;66.00;86 %;1.00;100 %;-;-;9.00;67 %;-;-;-;-;3.00;100 %;2.00;50 %;4.00;1.00;1.00;12.00;2.00;2.00;26.00;58 %;21.00;57 %;5.00;60 %;10.00;80 %;-;-;-;-;3.00;67 %;9.00;4.00;1;1.00;-;-;108.00;87.00;81 %;-;-;-;-;-;-;-;-;2.51;2.32;0.19;-;-;57.00;1.00;-;6.00;-;-;3.00;1.00;15.00;12.00;3.00;8.00;-;-;2.00
Алексей Миронов;Ростов;257;99;П ЛЦ;1.00;-;1.00;1.00;100 %;2.00;-;1.00;-;-;-;-;-;1.00;1.00;0.01;46.00;87 %;1.00;100 %;1.00;0 %;6.00;67 %;4.00;100 %;-;-;4.00;50 %;5.00;60 %;3.00;1.00;-;2.00;-;1.00;6.00;67 %;3.00;33 %;3.00;100 %;-;-;2.00;100 %;-;-;1.00;100 %;6.00;6.00;1;1.00;-;-;68.00;60.00;88 %;100 %;-;-;-;0.15;0.01;0.01;100.00;2.51;2.32;0.19;-;-;40.00;1.00;-;4.00;4.00;-;2.00;3.00;4.00;1.00;3.00;-;2.00;-;1.00
Евгений Морозов;Локомотив Москва;186;99;З ПЦ;-;-;-;-;-;-;5.00;-;1.00;3.00;-;-;-;-;-;-;44.00;86 %;-;-;1.00;0 %;9.00;78 %;4.00;75 %;-;-;4.00;75 %;-;-;3.00;-;-;9.00;1.00;-;10.00;20 %;9.00;22 %;1.00;0 %;5.00;20 %;-;-;-;-;4.00;25 %;8.00;7.00;1;1.00;-;-;69.00;55.00;80 %;-;-;-;-;-;-;-;-;1.20;1.63;-0.43;0.24;0.06;38.00;-;-;7.00;3.00;-;3.00;-;2.00;2.00;-;1.00;-;-;1.00
Максим Мухин;ЦСКА Москва;177;99;З ПЦ;-;-;-;-;-;-;2.00;-;2.00;4.00;-;-;-;1.00;-;0.02;57.00;86 %;-;-;1.00;0 %;10.00;80 %;2.00;50 %;1.00;0 %;5.00;80 %;3.00;67 %;8.00;2.00;1.00;6.00;-;2.00;23.00;39 %;17.00;47 %;6.00;17 %;8.00;25 %;2.00;0 %;1.00;0 %;3.00;67 %;5.00;10.00;1;1.00;-;-;99.00;75.00;76 %;0 %;-;1.00;-;0.11;0.02;-;0.00;2.32;2.51;-0.19;-;-;49.00;-;-;8.00;1.00;-;4.00;2.00;9.00;8.00;1.00;2.00;-;-;2.00
Максим Ненахов;Локомотив Москва;224;99;З П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;44.00;93 %;-;-;-;-;5.00;80 %;-;-;-;-;1.00;0 %;-;-;2.00;2.00;1.00;8.00;-;3.00;11.00;36 %;10.00;40 %;1.00;0 %;2.00;0 %;-;-;-;-;7.00;43 %;4.00;10.00;1;1.00;-;-;75.00;64.00;85 %;-;-;-;-;-;-;-;-;1.20;1.63;-0.43;0.03;0.03;41.00;-;-;4.00;-;-;-;-;4.00;4.00;-;-;-;-;3.00
Иван Обляков;ЦСКА Москва;217;99;ЗП ПЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;51.00;84 %;2.00;50 %;1.00;100 %;12.00;75 %;1.00;100 %;-;-;7.00;71 %;10.00;60 %;5.00;1.00;1.00;2.00;-;-;13.00;46 %;7.00;29 %;6.00;67 %;5.00;20 %;2.00;50 %;2.00;50 %;2.00;50 %;7.00;7.00;1;1.00;-;-;80.00;64.00;80 %;-;-;-;-;0.67;-;-;-;2.32;2.51;-0.19;-;-;43.00;1.00;1.00;9.00;1.00;-;5.00;6.00;6.00;2.00;4.00;1.00;1.00;1.00;1.00
Максим Сидоров;Оренбург;213;99;ЗЛ;-;-;-;-;-;-;-;3.00;-;1.00;-;-;-;-;-;-;52.00;79 %;-;-;6.00;0 %;8.00;63 %;1.00;0 %;1.00;0 %;7.00;71 %;5.00;0 %;5.00;-;2.00;3.00;1.00;4.00;17.00;65 %;10.00;70 %;7.00;57 %;2.00;100 %;5.00;60 %;3.00;67 %;6.00;83 %;4.00;4.00;1;1.00;-;-;83.00;64.00;77 %;-;-;-;-;-;-;-;-;1.27;2.34;-1.07;0.25;0.12;41.00;-;-;5.00;-;-;5.00;-;11.00;7.00;4.00;2.00;3.00;2.00;5.00
Александр Сильянов;Локомотив Москва;250;99;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;53.00;79 %;-;-;-;-;11.00;73 %;3.00;33 %;1.00;0 %;11.00;55 %;1.00;100 %;10.00;4.00;1.00;8.00;3.00;2.00;8.00;75 %;7.00;71 %;1.00;100 %;1.00;100 %;1.00;100 %;-;-;2.00;100 %;7.00;6.00;1;1.00;-;-;78.00;64.00;82 %;-;-;-;-;-;-;-;-;1.20;1.63;-0.43;-;-;42.00;-;-;8.00;1.00;-;6.00;1.00;6.00;5.00;1.00;1.00;1.00;-;2.00
Келвен Дуглас Силва Оливейра;ЦСКА Москва;255;99;ЗП П;1.00;1.00;2.00;1.00;50 %;2.00;1.00;-;-;1.00;-;-;-;1.00;1.00;0.28;40.00;73 %;4.00;75 %;8.00;50 %;7.00;86 %;1.00;0 %;1.00;0 %;-;-;13.00;69 %;7.00;2.00;-;-;-;1.00;16.00;31 %;9.00;44 %;7.00;14 %;4.00;50 %;2.00;0 %;1.00;0 %;2.00;50 %;4.00;7.00;1;1.00;-;-;70.00;48.00;69 %;100 %;-;-;-;1.33;0.28;0.28;3.57;2.32;2.51;-0.19;0.04;0.04;29.00;3.00;4.00;6.00;-;-;-;9.00;5.00;4.00;1.00;2.00;-;-;1.00
