Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Василий Алейников;Шинник;202;98;АП П;-;-;-;-;-;1.00;4.00;2.00;1.00;1.00;-;-;-;-;-;-;21.00;81 %;1.00;100 %;-;-;4.00;75 %;2.00;50 %;-;-;1.00;0 %;4.00;75 %;3.00;2.00;1.00;4.00;3.00;-;12.00;58 %;3.00;33 %;9.00;67 %;4.00;75 %;2.00;50 %;-;-;1.00;0 %;4.00;2.00;1;1.00;-;-;40.00;30.00;75 %;-;-;-;-;0.08;-;-;-;1.35;2.31;-0.96;0.08;0.08;17.00;1.00;-;3.00;1.00;-;-;3.00;7.00;1.00;6.00;3.00;1.00;-;-;7
Муталип Алибеков;Динамо Махачкала;203;98;З Ц;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;2.00;1.00;0.34;41.00;83 %;-;-;-;-;8.00;50 %;4.00;50 %;-;-;4.00;50 %;-;-;4.00;-;-;5.00;1.00;1.00;5.00;40 %;4.00;50 %;1.00;0 %;3.00;67 %;-;-;-;-;-;-;5.00;8.00;1;1.00;-;-;62.00;51.00;82 %;50 %;1.00;-;-;-;0.17;-;0.00;2.31;1.35;0.96;-;-;34.00;-;-;4.00;2.00;-;2.00;-;2.00;2.00;-;2.00;-;-;-;7
Никита Котин;Шинник;189;98;З ЛЦ;-;-;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;-;22.00;64 %;-;-;-;-;6.00;17 %;2.00;0 %;-;-;4.00;0 %;1.00;0 %;5.00;3.00;2.00;5.00;1.00;-;9.00;67 %;9.00;67 %;-;-;5.00;80 %;-;-;-;-;4.00;50 %;15.00;4.00;1;1.00;-;-;53.00;40.00;75 %;-;-;-;-;-;-;-;-;1.35;2.31;-0.96;0.29;0.14;14.00;-;-;1.00;-;-;-;-;6.00;6.00;-;4.00;-;-;2.00;7
Владимир Ковачевич;Динамо Махачкала;225;98;З ПЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;52.00;85 %;-;-;1.00;100 %;18.00;83 %;1.00;100 %;-;-;9.00;89 %;3.00;67 %;2.00;1.00;-;15.00;3.00;3.00;17.00;65 %;14.00;71 %;3.00;33 %;10.00;70 %;-;-;-;-;2.00;0 %;13.00;6.00;1;1.00;-;-;91.00;77.00;85 %;-;-;-;-;-;-;-;-;2.31;1.35;0.96;-;-;44.00;-;1.00;15.00;1.00;-;8.00;2.00;11.00;10.00;1.00;7.00;-;-;-;7
Эгаш Касинтура;Динамо Махачкала;229;98;АП ЛЦ;-;1.00;-;-;-;4.00;1.00;5.00;-;-;-;-;-;-;-;-;34.00;82 %;2.00;100 %;2.00;50 %;6.00;50 %;2.00;50 %;1.00;0 %;4.00;50 %;5.00;60 %;11.00;2.00;2.00;-;-;6.00;33.00;42 %;3.00;0 %;30.00;47 %;7.00;14 %;13.00;62 %;10.00;70 %;-;-;1.00;8.00;1;1.00;-;-;84.00;57.00;68 %;-;-;-;-;1.29;-;-;-;2.31;1.35;0.96;-;-;28.00;2.00;1.00;3.00;1.00;-;2.00;3.00;14.00;-;14.00;1.00;8.00;7.00;-;7
Дмитрий Шадринцев;Шинник;199;98;ЗЛ;-;-;-;-;-;-;1.00;1.00;-;1.00;1.00;-;-;-;-;-;28.00;68 %;-;-;1.00;100 %;8.00;50 %;2.00;0 %;-;-;3.00;0 %;3.00;100 %;6.00;3.00;-;3.00;-;-;13.00;46 %;9.00;67 %;4.00;0 %;1.00;100 %;4.00;0 %;1.00;0 %;4.00;50 %;8.00;5.00;1;1.00;-;-;54.00;38.00;70 %;-;-;-;-;-;-;-;-;1.35;2.31;-0.96;-;-;19.00;-;1.00;4.00;-;-;-;3.00;6.00;6.00;-;1.00;-;-;2.00;7
Идар Шумахов;Динамо Махачкала;196;98;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;1.00;1.00;-;0.13;60.00;90 %;-;-;-;-;13.00;62 %;4.00;75 %;2.00;50 %;8.00;63 %;1.00;0 %;4.00;-;-;8.00;-;-;8.00;50 %;6.00;50 %;2.00;50 %;4.00;75 %;-;-;-;-;-;-;6.00;9.00;1;1.00;-;-;84.00;73.00;87 %;0 %;-;1.00;-;-;0.13;-;0.00;2.31;1.35;0.96;0.47;0.47;54.00;-;-;8.00;3.00;1.00;5.00;-;4.00;3.00;1.00;3.00;-;-;-;7
Эдуард Валиахметов;Шинник;171;98;З П;-;-;-;-;-;-;1.00;-;-;3.00;-;-;-;-;-;-;40.00;75 %;-;-;1.00;0 %;9.00;22 %;3.00;0 %;1.00;0 %;6.00;33 %;2.00;0 %;7.00;1.00;-;5.00;1.00;1.00;20.00;40 %;15.00;40 %;5.00;40 %;6.00;67 %;2.00;0 %;-;-;5.00;40 %;8.00;5.00;1;1.00;-;-;76.00;54.00;71 %;-;-;-;-;-;-;-;-;1.35;2.31;-0.96;0.18;0.06;30.00;-;-;2.00;-;-;2.00;-;8.00;6.00;2.00;4.00;-;-;2.00;7
Залимхан Юсупов;Динамо Махачкала;236;98;ЗП ПЦ;-;-;1.00;-;0 %;1.00;2.00;2.00;-;-;1.00;-;-;1.00;1.00;0.13;57.00;70 %;1.00;100 %;4.00;50 %;17.00;53 %;3.00;100 %;-;-;8.00;50 %;12.00;42 %;6.00;2.00;-;3.00;1.00;-;12.00;75 %;8.00;63 %;4.00;100 %;2.00;50 %;-;-;-;-;3.00;100 %;6.00;8.00;1;1.00;-;-;84.00;64.00;76 %;100 %;-;-;-;0.45;0.13;-;0.00;2.31;1.35;0.96;0.08;0.08;40.00;1.00;2.00;9.00;3.00;-;4.00;5.00;9.00;5.00;4.00;1.00;-;-;3.00;7
Дмитрий Гузь;Шинник;244;98;З ПЦ;-;-;-;-;-;-;3.00;1.00;-;-;1.00;-;-;-;-;-;33.00;88 %;-;-;-;-;7.00;86 %;4.00;75 %;1.00;0 %;4.00;75 %;-;-;2.00;1.00;-;9.00;-;1.00;13.00;85 %;11.00;91 %;2.00;50 %;10.00;90 %;-;-;-;-;2.00;50 %;12.00;5.00;1;1.00;-;-;65.00;59.00;91 %;-;-;-;-;-;-;-;-;1.35;2.31;-0.96;0.13;0.13;29.00;-;-;6.00;3.00;-;3.00;-;11.00;10.00;1.00;9.00;-;-;1.00;7
Вячеслав Бардыбахин;Енисей Красноярск;188;97;ЗЛ;-;-;-;-;-;-;1.00;-;1.00;2.00;-;-;-;1.00;-;0.04;43.00;81 %;-;-;1.00;0 %;5.00;80 %;1.00;0 %;-;-;4.00;50 %;1.00;0 %;6.00;2.00;1.00;7.00;2.00;-;15.00;40 %;8.00;38 %;7.00;43 %;5.00;60 %;-;-;-;-;4.00;25 %;7.00;9.00;1;1.00;-;-;77.00;57.00;74 %;0 %;1.00;-;-;0.28;0.04;-;0.00;1.50;1.81;-0.31;-;-;35.00;-;-;4.00;-;-;2.00;-;6.00;3.00;3.00;3.00;-;-;1.00;7
Дмитрий Бегун;СКА-Хабаровск;200;97;ЗЛ;-;-;-;-;-;1.00;1.00;2.00;1.00;1.00;-;-;-;1.00;-;0.10;48.00;75 %;1.00;100 %;1.00;100 %;7.00;43 %;2.00;50 %;1.00;0 %;4.00;50 %;2.00;50 %;8.00;2.00;-;7.00;1.00;3.00;22.00;64 %;10.00;70 %;12.00;58 %;7.00;71 %;7.00;43 %;3.00;33 %;2.00;50 %;5.00;5.00;1;1.00;-;-;84.00;63.00;75 %;0 %;1.00;-;-;0.10;0.10;-;0.00;1.81;1.50;0.31;-;-;36.00;1.00;1.00;3.00;1.00;-;2.00;1.00;14.00;7.00;7.00;5.00;3.00;1.00;1.00;7
Владимир Хозин;Енисей Красноярск;203;97;З ПЦ;-;-;1.00;-;0 %;-;1.00;1.00;-;1.00;-;-;-;1.00;-;0.17;39.00;74 %;-;-;-;-;12.00;67 %;5.00;0 %;2.00;0 %;8.00;25 %;1.00;0 %;8.00;2.00;-;13.00;2.00;-;17.00;71 %;14.00;71 %;3.00;67 %;8.00;75 %;1.00;100 %;-;-;3.00;67 %;6.00;8.00;1;1.00;-;-;71.00;55.00;77 %;0 %;1.00;-;-;-;0.17;-;0.00;1.50;1.81;-0.31;0.31;0.31;29.00;-;-;8.00;-;-;2.00;-;12.00;10.00;2.00;6.00;1.00;-;2.00;7
Валерий Кичин;Енисей Красноярск;217;97;З ЛЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;1.00;-;0.01;33.00;88 %;-;-;-;-;9.00;67 %;4.00;100 %;1.00;100 %;4.00;75 %;-;-;4.00;2.00;-;8.00;3.00;1.00;14.00;57 %;12.00;58 %;2.00;50 %;7.00;57 %;-;-;-;-;3.00;33 %;9.00;5.00;1;1.00;-;-;63.00;52.00;83 %;0 %;1.00;-;-;0.19;0.01;-;0.00;1.50;1.81;-0.31;-;-;29.00;-;-;6.00;4.00;1.00;3.00;-;8.00;7.00;1.00;4.00;-;-;1.00;7
Олег Кожемякин;СКА-Хабаровск;207;97;З ПЦ;-;-;1.00;-;0 %;-;2.00;2.00;-;1.00;-;-;-;1.00;1.00;0.10;45.00;82 %;-;-;-;-;9.00;67 %;4.00;50 %;-;-;3.00;67 %;-;-;2.00;-;-;4.00;1.00;1.00;16.00;75 %;12.00;75 %;4.00;75 %;8.00;63 %;2.00;100 %;-;-;1.00;0 %;7.00;8.00;1;1.00;-;-;78.00;66.00;85 %;100 %;-;-;-;0.02;0.10;-;0.00;1.81;1.50;0.31;0.08;0.08;37.00;-;-;6.00;2.00;-;2.00;-;12.00;9.00;3.00;5.00;2.00;-;-;7
Олег Ланин;Енисей Красноярск;194;97;ЗП Ц;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-;-;-;-;40.00;75 %;-;-;2.00;0 %;10.00;30 %;4.00;25 %;-;-;6.00;33 %;4.00;25 %;7.00;1.00;-;7.00;-;2.00;6.00;83 %;4.00;75 %;2.00;100 %;1.00;100 %;1.00;100 %;-;-;3.00;67 %;4.00;13.00;1;1.00;-;-;66.00;55.00;83 %;-;-;-;-;0.17;-;-;-;1.50;1.81;-0.31;-;-;30.00;-;-;3.00;1.00;-;2.00;1.00;5.00;3.00;2.00;1.00;1.00;-;2.00;7
Николай Марков;Енисей Красноярск;227;97;З П;1.00;-;2.00;1.00;50 %;-;-;-;-;1.00;-;-;-;2.00;1.00;0.14;32.00;75 %;-;-;1.00;0 %;6.00;67 %;1.00;0 %;-;-;4.00;100 %;2.00;50 %;3.00;1.00;-;6.00;2.00;-;9.00;33 %;8.00;38 %;1.00;0 %;3.00;0 %;-;-;-;-;2.00;50 %;4.00;2.00;1;1.00;-;-;49.00;34.00;69 %;50 %;-;1.00;-;-;0.07;0.14;7.14;1.50;1.81;-0.31;0.09;0.09;24.00;-;-;4.00;-;-;4.00;1.00;3.00;3.00;-;-;-;-;1.00;7
Андрей Никитин;СКА-Хабаровск;217;97;АП Л;-;-;1.00;-;0 %;1.00;1.00;2.00;-;-;1.00;-;-;4.00;2.00;0.43;18.00;89 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;2.00;100 %;2.00;50 %;9.00;3.00;1.00;-;-;6.00;14.00;50 %;1.00;0 %;13.00;54 %;3.00;0 %;6.00;83 %;4.00;100 %;-;-;1.00;3.00;1;1.00;-;-;47.00;35.00;74 %;50 %;2.00;-;-;-;0.11;-;0.00;1.81;1.50;0.31;-;-;16.00;-;-;2.00;-;-;2.00;1.00;7.00;-;7.00;-;5.00;4.00;-;7
Николай Покидышев;СКА-Хабаровск;196;97;З П;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-;-;-;-;59.00;71 %;1.00;0 %;2.00;0 %;18.00;50 %;4.00;50 %;2.00;50 %;9.00;56 %;4.00;0 %;11.00;3.00;-;8.00;3.00;2.00;11.00;82 %;10.00;90 %;1.00;0 %;4.00;100 %;-;-;-;-;3.00;100 %;10.00;7.00;1;1.00;-;-;90.00;71.00;79 %;-;-;-;-;0.31;-;-;-;1.81;1.50;0.31;-;-;42.00;-;-;9.00;2.00;1.00;5.00;-;9.00;9.00;-;4.00;-;-;3.00;7
Никита Раздорских;Енисей Красноярск;229;97;П П;-;1.00;-;-;-;3.00;2.00;2.00;-;-;1.00;-;-;1.00;-;0.04;29.00;72 %;1.00;100 %;1.00;100 %;11.00;73 %;-;-;-;-;9.00;67 %;2.00;100 %;5.00;2.00;-;2.00;-;-;16.00;31 %;9.00;11 %;7.00;57 %;4.00;25 %;2.00;100 %;2.00;100 %;7.00;14 %;6.00;5.00;1;1.00;-;-;57.00;37.00;65 %;0 %;-;1.00;-;0.26;0.04;-;0.00;1.50;1.81;-0.31;0.02;0.02;21.00;1.00;1.00;8.00;-;-;6.00;2.00;5.00;1.00;4.00;1.00;2.00;2.00;1.00;7
Артем Симонян;СКА-Хабаровск;223;97;П ПЦ;-;1.00;-;-;-;-;1.00;3.00;-;-;-;-;-;-;-;-;36.00;72 %;2.00;50 %;-;-;5.00;40 %;-;-;-;-;4.00;75 %;5.00;60 %;7.00;1.00;1.00;2.00;1.00;2.00;10.00;70 %;4.00;75 %;6.00;67 %;5.00;60 %;2.00;100 %;2.00;100 %;2.00;100 %;3.00;5.00;1;1.00;-;-;57.00;43.00;75 %;-;-;-;-;0.32;-;-;-;1.81;1.50;0.31;-;-;26.00;1.00;-;2.00;-;-;3.00;3.00;7.00;3.00;4.00;3.00;2.00;2.00;2.00;7
Нури Абдоков;Кубань Краснодар;184;96;АП Ц;-;-;1.00;-;0 %;1.00;1.00;-;-;-;-;-;-;1.00;1.00;0.31;22.00;73 %;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;1.00;0 %;8.00;-;-;2.00;-;-;13.00;31 %;6.00;33 %;7.00;29 %;4.00;25 %;1.00;0 %;1.00;0 %;5.00;40 %;1.00;1.00;1;1.00;-;-;38.00;23.00;61 %;100 %;-;-;-;-;0.31;-;0.00;1.9;1.77;-0.68;-;-;16.00;-;-;-;-;-;-;-;4.00;2.00;2.00;1.00;-;-;2.00;7
Неманья Анджелкович;ФК Акрон Тольятти;190;96;З ПЦ;-;-;-;-;-;1.00;1.00;3.00;1.00;1.00;-;-;-;-;-;-;42.00;90 %;-;-;-;-;12.00;75 %;4.00;50 %;-;-;3.00;33 %;-;-;3.00;1.00;-;9.00;-;-;13.00;62 %;10.00;60 %;3.00;67 %;8.00;50 %;-;-;-;-;-;-;8.00;6.00;1;1.00;-;-;70.00;61.00;87 %;-;-;-;-;-;-;-;-;0.57;1.79;-1.22;0.12;0.12;38.00;-;-;9.00;2.00;-;1.00;-;8.00;6.00;2.00;4.00;-;-;-;7
Алан Багаев;Алания Владикавказ;231;96;З ЛЦ;-;-;1.00;-;0 %;1.00;1.00;1.00;-;1.00;-;-;-;1.00;-;0.22;39.00;82 %;-;-;1.00;0 %;10.00;50 %;2.00;0 %;1.00;0 %;7.00;43 %;2.00;50 %;7.00;4.00;-;14.00;3.00;1.00;18.00;83 %;15.00;80 %;3.00;100 %;6.00;100 %;2.00;100 %;1.00;100 %;3.00;100 %;11.00;12.00;1;1.00;-;-;86.00;75.00;87 %;0 %;-;-;1.00;0.22;0.22;-;0.00;1.77;1.9;0.68;0.31;0.31;32.00;-;-;5.00;-;-;3.00;1.00;15.00;12.00;3.00;6.00;2.00;1.00;3.00;7
Азат Байрыев;Кубань Краснодар;180;96;З ЛЦ;-;-;-;-;-;-;1.00;-;-;3.00;-;-;1.00;-;-;-;55.00;87 %;-;-;-;-;7.00;71 %;-;-;-;-;2.00;50 %;1.00;0 %;7.00;3.00;-;5.00;1.00;1.00;8.00;50 %;3.00;100 %;5.00;20 %;5.00;40 %;-;-;-;-;-;-;9.00;5.00;1;1.00;-;-;78.00;67.00;86 %;-;-;-;-;-;-;-;-;1.9;1.77;-0.68;0.44;0.15;48.00;-;-;5.00;-;-;1.00;-;4.00;3.00;1.00;2.00;-;-;-;7
Руслан Байтуков;Тюмень;192;96;З ПЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;61.00;84 %;-;-;-;-;15.00;53 %;6.00;50 %;1.00;100 %;9.00;56 %;5.00;60 %;6.00;3.00;1.00;5.00;1.00;2.00;15.00;20 %;10.00;0 %;5.00;60 %;7.00;29 %;-;-;-;-;1.00;0 %;3.00;11.00;1;1.00;-;-;93.00;70.00;75 %;-;-;-;-;-;-;-;-;1.79;0.57;1.22;0.17;0.06;51.00;-;-;8.00;3.00;1.00;5.00;3.00;3.00;-;3.00;2.00;-;-;-;7
Александр Бем;Тюмень;238;96;З П;-;-;-;-;-;1.00;1.00;-;-;-;1.00;-;-;-;-;-;52.00;87 %;1.00;100 %;3.00;67 %;7.00;57 %;1.00;100 %;-;-;3.00;67 %;6.00;50 %;6.00;3.00;1.00;10.00;6.00;2.00;11.00;45 %;6.00;50 %;5.00;40 %;4.00;50 %;-;-;-;-;2.00;100 %;9.00;6.00;1;1.00;-;-;81.00;67.00;83 %;-;-;-;-;0.37;-;-;-;1.79;0.57;1.22;0.08;0.08;45.00;1.00;2.00;4.00;1.00;-;2.00;3.00;5.00;3.00;2.00;2.00;-;-;2.00;7
Иван Чудин;ФК Акрон Тольятти;195;96;ЗП ПЦ;-;-;-;-;-;-;2.00;1.00;1.00;1.00;-;-;-;-;-;-;43.00;91 %;-;-;-;-;6.00;67 %;1.00;100 %;-;-;1.00;100 %;-;-;5.00;1.00;-;5.00;1.00;2.00;17.00;59 %;7.00;43 %;10.00;70 %;5.00;60 %;4.00;75 %;-;-;2.00;50 %;3.00;10.00;1;1.00;-;-;75.00;64.00;85 %;-;-;-;-;-;-;-;-;0.57;1.79;-1.22;0.47;0.16;39.00;-;-;4.00;1.00;-;1.00;-;10.00;3.00;7.00;3.00;3.00;-;1.00;7
